お仕事No.,応募数 合計
2203566799,1.9459101490553132
2203546900,3.9512437185814275
2203546900,3.295836866004329
2203545344,3.970291913552122
2203545344,3.784189633918261
2203569493,1.9459101490553132
2203556553,2.5649493574615367
2203563008,1.9459101490553132
2203526826,3.2188758248682006
2203526826,2.70805020110221
2203501746,3.2188758248682006
2203501746,3.295836866004329
2203519812,3.4011973816621555
2203519812,3.295836866004329
2203525420,3.091042453358316
2203525420,3.6888794541139363
2203563754,1.6094379124341003
2203512438,2.772588722239781
2203512438,2.70805020110221
2203495958,2.6390573296152584
2203495958,2.6390573296152584
2203556957,3.091042453358316
2203570180,1.6094379124341003
2203557199,2.70805020110221
2203554555,2.8903717578961645
2203491945,2.3978952727983707
2203491945,2.0794415416798357
2203546898,2.833213344056216
2203546898,1.791759469228055
2203526411,2.3978952727983707
2203526411,2.70805020110221
2203540200,2.4849066497880004
2203540200,2.995732273553991
2203569942,1.6094379124341003
2203555445,2.9444389791664403
2203490372,2.772588722239781
2203490372,3.295836866004329
2203568251,0.0
2203567768,0.0
2203467767,2.8903717578961645
2203467767,2.9444389791664403
2203564104,1.6094379124341003
2203508914,2.3978952727983707
2203508914,2.70805020110221
2203568292,0.6931471805599453
2203508238,2.1972245773362196
2203508238,2.0794415416798357
2203559357,0.6931471805599453
2203569471,0.6931471805599453
2203537199,2.3978952727983707
2203537199,3.2188758248682006
2203546087,3.367295829986474
2203546087,2.772588722239781
2203517850,2.302585092994046
2203517850,2.995732273553991
2203552261,4.174387269895637
2203568434,1.0986122886681098
2203506122,2.302585092994046
2203506122,2.1972245773362196
2203536899,2.1972245773362196
2203536899,1.0986122886681098
2203545409,2.4849066497880004
2203555627,1.6094379124341003
2203490910,2.3978952727983707
2203490910,2.6390573296152584
2203569427,1.3862943611198906
2203544503,1.6094379124341003
2203544503,1.791759469228055
2203563334,1.0986122886681098
2203470445,2.4849066497880004
2203470445,1.6094379124341003
2203506496,2.4849066497880004
2203506496,2.0794415416798357
2203539780,3.1780538303479458
2203539780,1.791759469228055
2203567626,0.0
2203494279,2.995732273553991
2203494279,1.791759469228055
2203539342,2.995732273553991
2203539342,1.6094379124341003
2203526244,3.332204510175204
2203526244,2.8903717578961645
2203516776,2.5649493574615367
2203516776,0.6931471805599453
2203536025,2.772588722239781
2203536025,2.1972245773362196
2203566057,0.6931471805599453
2203545202,3.6888794541139363
2203545202,2.3978952727983707
2203545682,2.3978952727983707
2203545682,1.791759469228055
2203539995,1.791759469228055
2203539995,2.3978952727983707
2203531586,2.1972245773362196
2203531586,0.0
2203527261,1.0986122886681098
2203527261,0.6931471805599453
2203568226,1.791759469228055
2203511565,2.3978952727983707
2203511565,2.3978952727983707
2203566810,1.791759469228055
2203567590,1.0986122886681098
2203551163,1.791759469228055
2203526654,2.3978952727983707
2203526654,2.6390573296152584
2203548891,1.791759469228055
2203548891,0.0
2203555449,1.6094379124341003
2203569480,0.0
2203527260,1.3862943611198906
2203527260,2.302585092994046
2203505822,1.791759469228055
2203505822,0.6931471805599453
2203567848,0.6931471805599453
2203560065,1.3862943611198906
2203569320,1.0986122886681098
2203555033,1.791759469228055
2203488009,2.3978952727983707
2203488009,2.3978952727983707
2203527442,2.4849066497880004
2203527442,1.3862943611198906
2203531747,2.4849066497880004
2203531747,2.772588722239781
2203552319,2.1972245773362196
2203561826,1.0986122886681098
2203570174,1.0986122886681098
